slug,name,category,website,email,email_found,contacted,contact_date,replied
abbott-neuromodulation,Abbott Neuromodulation,Neuromodulation,https://abbott.com/neuromodulation,,no,no,,
acadia-pharmaceuticals,Acadia Pharmaceuticals,Neuropharmaceuticals,https://www.acadia-pharm.com,bd@acadia-pharm.com,yes,yes,2026-06-16,
acer-therapeutics,Acer Therapeutics,Neuropharmaceuticals,https://www.acertx.com,resourceshr@acertx.com,yes,yes,2026-06-16,
advanced-brain-monitoring,Advanced Brain Monitoring,Neurodiagnostics,https://www.advancedbrainmonitoring.com,,no,no,,
praxis-precision-medicine,Praxis Precision Medicine,Neuropharmaceuticals,https://www.praxismedicine.com,,no,no,,
aleva-neurotherapeutics,Aleva Neurotherapeutics,Brain-Computer Interfaces,https://aleva-neuro.com,investors@aleva-neuro.com,yes,yes,2026-06-16,
algernon-pharmaceuticals,Algernon Pharmaceuticals,Psychedelics,https://algernonpharmaceuticals.com,,no,no,,
alto-neuroscience,Alto Neuroscience,Mental Health Tech,https://altoneuroscience.com,info@altoneuroscience.com,yes,yes,2026-06-16,
apex-labs,Apex Labs,Psychedelics,https://apexlabs.ca,,no,no,,
arctop,Arctop,Brain-Computer Interfaces,https://arctop.com,,no,no,,
atai-life-sciences,atai Life Sciences,Psychedelics,https://www.atai.life,pr@ataibeckley.com,yes,yes,2026-06-16,
awakened-futures,Awakened Futures,Mental Health Tech,https://awakenedfutures.com,,no,no,,
awakn-europe,Awakn Europe,Psychedelics,https://awakn.eu,,no,no,,
awakn-life-sciences,Awakn Life Sciences,Psychedelics,https://www.awakn.life,,no,no,,
axsome-therapeutics,Axsome Therapeutics,Neuropharmaceuticals,https://www.axsome.com,info@axsome.com,yes,yes,2026-06-16,
battelle-neurotechnology,Battelle Memorial Institute – Neurotechnology,Brain-Computer Interfaces,https://battelle.org/research-and-development/applied-research/neurotechnology,,no,no,,
beacon-biosignals,Beacon Biosignals,Neurodiagnostics,https://beacon.bio,,no,no,,
beckley-foundation,Beckley Foundation,Psychedelics,https://beckleyfoundation.org,office@beckleyfoundation.org,yes,yes,2026-06-16,
beckley-psytech,Beckley Psytech,Psychedelics,https://www.beckleypsytech.com,pr@ataibeckley.com,yes,yes,2026-06-16,
bexson-biomedical,Bexson Biomedical,Psychedelics,https://bexsonbiomedical.com,,no,no,,
big-health,Big Health,Mental Health Tech,https://bighealth.com,careers@bighealth.com,yes,yes,2026-06-16,
bioelectronics-corp,BioElectronics Corp,Neuromodulation,https://www.bioelectronicscorp.com,ianwar@bielcorp.com,yes,yes,2026-06-16,
biomind-labs,Biomind Labs,Psychedelics,https://biomindlabs.com,future@biomindlabs.com,yes,yes,2026-06-16,
bioness,Bioness,Neuromodulation,https://www.bioness.com,,no,no,,
bioxcel-therapeutics,BioXcel Therapeutics,Neuropharmaceuticals,https://www.bioxceltherapeutics.com,info@bioxceltherapeutics.com,yes,yes,2026-06-16,
blackfynn,Blackfynn,Research Tools,https://blackfynn.com,,no,no,,
blackrock-neurotech,BlackRock Neurotech,Brain-Computer Interfaces,https://www.blackrockneurotech.com,sales@blackrockneuro.com,yes,yes,2026-06-16,
boston-scientific-neuro,Boston Scientific Neuromodulation,Neuromodulation,https://bostonscientific.com/neuromodulation,,no,no,,
brain-train,BrainTrain,Neurofeedback,https://braintrain.com,,no,no,,
brainbit,BrainBit,Neurofeedback,https://www.brainbit.com,info@brainbit.com,yes,yes,2026-06-16,
braincare,BrainCare,Cognitive Health,https://braincare.com,,no,no,,
brainco,BrainCo,Brain-Computer Interfaces,https://brainco.tech,,no,no,,
neurolief,Neurolief,Neuromodulation,https://www.neurolief.com,support@prolivrx.com,yes,yes,2026-06-16,
brainsway,BrainsWay,Neuromodulation,https://www.brainsway.com,deeptms@brainsway.com,yes,yes,2026-06-16,
bright-minds-biosciences,Bright Minds Biosciences,Mental Health Tech,https://brightmindsbiosciences.com,,no,no,,
brightside-health,Brightside Health,Mental Health Tech,https://www.brightside.com,,no,no,,
cambridge-cognition,Cambridge Cognition,Cognitive Health,https://cambridgecognition.com,,no,no,,
campo-santo-therapeutics,Campo Santo Therapeutics,Psychedelics,https://camposantotherapeutics.com,,no,no,,
cerebral,Cerebral,Mental Health Tech,https://www.cerebral.com,support@cerebral.com,yes,yes,2026-06-16,
athira-pharma,Athira Pharma,Neuropharmaceuticals,https://www.athirapharma.com,,no,no,,
tonix-pharmaceuticals,Tonix Pharmaceuticals,Neuropharmaceuticals,https://www.tonixpharma.com,,no,no,,
cerevel-therapeutics,Cerevel Therapeutics,Neuropharmaceuticals,https://www.cerevel.com,,no,no,,
ceribell,Ceribell,Neurodiagnostics,https://ceribell.com,eeg@ceribell.com,yes,yes,2026-06-16,
ceruvia-lifesciences,Ceruvia Lifesciences,Psychedelics,https://ceruvialifesciences.com,info@ceruvialifesciences.com,yes,yes,2026-06-16,
clerkenwell-health,Clerkenwell Health,Mental Health Tech,https://clerkenwellhealth.com,,no,no,,
clerkenwell-labs,Clerkenwell Labs,Psychedelics,https://clerkenwelllabs.com,,no,no,,
cognition-therapeutics,Cognition Therapeutics,Neuropharmaceuticals,https://www.cogrx.com,,no,no,,
cognito-therapeutics,Cognito Therapeutics,Cognitive Health,https://cognitotx.com,info@cognitotx.com,yes,yes,2026-06-16,
cogstate,Cogstate,Cognitive Health,https://cogstate.com,,no,no,,
compass-pathways,COMPASS Pathways,Psychedelics,https://compasspathways.com,info@compasspathways.com,yes,yes,2026-06-16,
compumedics,Compumedics,Neurodiagnostics,https://www.compumedics.com.au,support@compumedics.com.au,yes,yes,2026-06-16,
cortec-neuro,Cortec Neuro,Brain-Computer Interfaces,https://cortec-neuro.com,gary.johnson@cortec-neuro.com,yes,yes,2026-06-16,
cortivision,Cortivision,Neurodiagnostics,https://cortivision.com,,no,no,,
cybin,Cybin,Psychedelics,https://www.cybin.com,,no,no,,
delix-therapeutics,Delix Therapeutics,Psychedelics,https://delix.com,,no,no,,
dreem,Dreem,Neurofeedback,https://www.dreem.com,,no,no,,
eeg-info,EEG Info,Neurofeedback,https://eeginfo.com,,no,no,,
ei-biotech,EI Biotech,Psychedelics,https://eibiotech.com,,no,no,,
electrocore,electroCore,Brain-Computer Interfaces,https://electrocore.com,customerserviceuk@electrocore.com,yes,yes,2026-06-16,
elemind,Elemind,Brain-Computer Interfaces,https://elemind.com,nicola@elemind.com,yes,yes,2026-06-16,
eleusis,Eleusis,Mental Health Tech,https://eleusis.com,,no,no,,
emotiv,EMOTIV,Neurofeedback,https://emotiv.com,,no,no,,
emyria,Emyria,Psychedelics,https://emyria.com.au,,no,no,,
enspire-medical,Enspire Medical,Neuromodulation,https://www.enspiremedical.com,,no,no,,
entheogenix-biosciences,EntheogeniX Biosciences,Psychedelics,https://entheogenix.com,,no,no,,
entheon-biomedical,Entheon Biomedical,Mental Health Tech,https://entheonbiomedical.com,,no,no,,
entorian-technologies,Entorian Technologies,Neuromodulation,https://www.entorian.com,,no,no,,
field-trip-health,Field Trip Health,Psychedelics,https://fieldtriphealth.com,,no,no,,
filament-health,Filament Health,Mental Health Tech,https://filament.health,media@filament.health,yes,yes,2026-06-16,
flow-neuroscience,Flow Neuroscience,Brain-Computer Interfaces,https://flowneuroscience.com,support@flowneuroscience.com,yes,yes,2026-06-16,
fluence-psychedelic,Fluence,Psychedelics,https://fluencetraining.com,info@fluencetraining.com,yes,yes,2026-06-16,
gh-research,GH Research,Mental Health Tech,https://gh.bio,,no,no,,
graymatters-health,GrayMatters Health,Neuromodulation,https://www.graymattershealth.com,drsitzer@graymattershealth.com,yes,yes,2026-06-16,
